City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,nago,26.5881,127.9761,29.57,74,93,2.43,JP,1723853377
356,remire-montjoly,4.9167,-52.2667,26.02,89,0,2.57,GF,1723853377
357,kapuskasing,49.4169,-82.4331,20.38,75,92,1.1,CA,1723853377
358,tommot,58.9564,126.2925,14.72,66,54,1.26,RU,1723853377
359,villa gesell,-37.2639,-56.973,8.46,78,66,6.76,AR,1723853377
360,piti village,13.4626,144.6933,26.49,94,100,0.0,GU,1723853378
361,naze,28.3667,129.4833,28.41,76,77,0.9,JP,1723853378
362,tymovskoye,50.8456,142.655,14.34,79,99,3.89,RU,1723853378
363,metu,8.3,35.5833,14.08,98,99,0.84,ET,1723853378
364,mundri,-6.9558,111.71,23.6,64,22,1.75,ID,1723853378
365,lihue,21.9789,-159.3672,27.77,81,100,7.72,US,1723853378
366,colonia,50.9333,6.95,21.74,86,75,1.54,DE,1723853244
367,sniatyn,48.4469,25.5694,18.92,87,36,1.56,UA,1723853378
368,ola,59.5833,151.2833,13.82,55,100,1.31,RU,1723853379
369,zakamensk,50.3741,103.2863,13.72,72,57,0.7,RU,1723853379
370,beyneu,45.3167,55.2,19.67,50,2,3.39,KZ,1723853379
371,abadeh,31.1608,52.6506,25.42,16,0,2.07,IR,1723853379
372,buala,-8.145,159.5921,28.4,76,100,4.45,SB,1723853379
373,cantilan,9.3336,125.9775,28.81,73,97,1.53,PH,1723853379
374,jackson,42.4165,-122.8345,32.26,30,0,4.02,US,1723853379
375,gereida,11.2811,25.1414,24.25,82,94,4.63,SD,1723853379
376,piacabucu,-10.4056,-36.4344,22.85,79,17,3.56,BR,1723853379
377,ulan bator,47.9077,106.8832,15.54,85,93,1.17,MN,1723853379
378,calama,-22.4667,-68.9333,14.27,8,0,2.57,CL,1723853379
379,pisco,-13.7,-76.2167,16.03,88,100,4.12,PE,1723853380
380,taoudenni,22.6783,-3.9836,36.79,28,19,4.68,ML,1723853380
381,ciudad bolivar,8.1222,-63.5497,29.2,59,100,1.0,VE,1723853380
382,lhokseumawe,5.1801,97.1507,24.39,95,100,2.79,ID,1723853380
383,baiti,13.745,-14.7482,24.57,96,73,3.18,SN,1723853380
384,asipovichy,53.2933,28.6422,18.07,64,87,2.16,BY,1723853380
385,orapa,-21.2833,25.3667,14.49,45,0,4.39,BW,1723853380
386,goundam,16.4145,-3.6708,25.71,85,90,7.18,ML,1723853380
387,masjed soleyman,31.9364,49.3039,35.55,12,0,1.5,IR,1723853380
388,huarmey,-10.0681,-78.1522,17.24,81,6,3.83,PE,1723853380
389,acala,16.5667,-92.8,29.12,91,49,1.44,MX,1723853381
390,kirakira,-10.4544,161.9205,28.95,68,94,5.59,SB,1723853381
391,kerema,-7.9631,145.7785,26.9,81,100,0.64,PG,1723853381
392,rongelap,11.1635,166.8941,28.55,77,89,5.42,MH,1723853381
393,saint-philippe,-21.3585,55.7679,21.3,83,29,4.01,RE,1723853381
394,san patricio,28.017,-97.5169,32.97,57,65,6.98,US,1723853166
395,petawawa,45.9001,-77.3328,24.88,60,87,2.34,CA,1723853381
396,sept-iles,50.2001,-66.3821,15.59,93,42,0.89,CA,1723853381
397,kudahuvadhoo,2.6708,72.8944,28.43,77,100,9.44,MV,1723853381
398,ad dabbah,18.05,30.95,34.48,39,79,4.89,SD,1723853381
399,marlin,31.3063,-96.898,36.91,26,27,4.93,US,1723853381
400,sogndal,61.2283,7.1003,14.21,71,100,4.12,NO,1723853382
401,miquelon,47.0975,-56.3814,17.04,87,52,2.07,PM,1723853382
402,kofele,7.0667,38.7833,9.01,93,68,1.64,ET,1723853382
403,tomatlan,19.9333,-105.25,26.92,84,100,1.29,MX,1723853382
404,gizo,-8.103,156.8419,27.9,76,95,3.66,SB,1723853382
405,piriyapatna,12.3397,76.0992,21.2,97,100,1.74,IN,1723853382
406,khurba,50.4072,136.8819,21.11,73,15,2.01,RU,1723853382
407,saint-pierre,-21.3393,55.4781,20.82,73,0,3.6,RE,1723853382
408,svetlyy,54.675,20.1347,18.56,89,7,2.1,RU,1723853382
